"npTitleId","npTitleIdshort","name","region","category","psVr","neoEnable","ps5bc","date"
"CUSA10027_00","CUSA10027","8-bit Adventure Anthology: Volume I","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0126968Z"
"CUSA10028_00","CUSA10028","A Hat in Time","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0195266Z"
"CUSA10029_00","CUSA10029","Donut County","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0264812Z"
"CUSA10030_00","CUSA10030","Kentucky Route Zero: TV Edition","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0335546Z"
"CUSA10031_00","CUSA10031","Rascal Revolt","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0397208Z"
"CUSA10032_00","CUSA10032","Fear Effect Sedna","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0469655Z"
"CUSA10035_00","CUSA10035","最终幻想15 在线扩展包：战友","HP","gd",0,1,"N/A","2020-10-31T20:07:45.0544001Z"
"CUSA10036_00","CUSA10036","MONKEY KING: HERO IS BACK","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0617562Z"
"CUSA10037_00","CUSA10037","西游记之大圣归来 VR试玩版","HP","gd",2,1,"N/A","2020-10-31T20:07:45.0693188Z"
"CUSA10038_00","CUSA10038","Madden NFL 19","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0780834Z"
"CUSA10042_00","CUSA10042","METAL MAX Xeno","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0856151Z"
"CUSA10043_00","CUSA10043","北斗が如く","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.0927657Z"
"CUSA10044_00","CUSA10044","Alteric","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1001721Z"
"CUSA10045_00","CUSA10045","NORTH","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1083903Z"
"CUSA10046_00","CUSA10046","SkyTime","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1162074Z"
"CUSA10047_00","CUSA10047","Spiral Splatter","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1223889Z"
"CUSA10049_00","CUSA10049","One More Dungeon","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1298398Z"
