"NP Title ID","Title ID","Title","Region","Category","PS VR","PS4 Pro Enhanced","PS5 backward compatible","Date"
"CUSA03487_00","CUSA03487","Prison Architect: PlayStation®4 Edition","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.3317512Z"
"CUSA03488_00","CUSA03488","ＮＡＲＵＴＯ－ナルト－ 疾風伝　ナルティメットストーム４　体験版","JP","gd",0,0,"N/A","2020-11-01T14:26:21.3369304Z"
"CUSA03489_00","CUSA03489","ガンダムブレイカー３","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.3411826Z"
"CUSA03490_00","CUSA03490","Minecraft: Story Mode","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.3462473Z"
"CUSA03491_00","CUSA03491","INFERNO CLIMBER: REBORN","JP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.3504831Z"
"CUSA03492_00","CUSA03492","Star Wars™: Racer Revenge™","EP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.3555751Z"
"CUSA03493_00","CUSA03493","Star Wars Bounty Hunter™","EP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.3598277Z"
"CUSA03494_00","CUSA03494","Star Wars™: Jedi Starfighter™","EP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.3653257Z"
"CUSA03495_00","CUSA03495","Minecraft Story Mode","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.3699582Z"
"CUSA03496_00","CUSA03496","5 Star Wrestling: ReGenesis","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.3753318Z"
"CUSA03497_00","CUSA03497","進撃の巨人","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.38043Z"
"CUSA03498_00","CUSA03498","RESIDENT EVIL UMBRELLA CORPS","HP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.3847559Z"
"CUSA03499_00","CUSA03499","Game of Thrones","EP","gd",0,0,"BOOTABLE","2020-11-01T14:26:21.3898772Z"
"CUSA03500_00","CUSA03500","DARK SOULS III NETWORK STRESS TEST VER.","EP","gd",0,0,"N/A","2020-11-01T14:26:21.3941042Z"
"CUSA03502_00","CUSA03502","Ether One","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.3992334Z"
"CUSA03503_00","CUSA03503","NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 4 Demo","UP","gd",0,0,"N/A","2020-11-01T14:26:21.4034222Z"
"CUSA03504_00","CUSA03504","ASSAULT SUITS LEYNOS Trial ver. 2","JP","gd",0,0,"N/A","2020-11-01T14:26:21.4086558Z"
"CUSA03505_00","CUSA03505","Neon Chrome","UP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.4129514Z"
"CUSA03506_00","CUSA03506","Grand Theft Auto: San Andreas","UP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.4182952Z"
"CUSA03507_00","CUSA03507","Bully","UP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.4225752Z"
"CUSA03508_00","CUSA03508","Grand Theft Auto 3","UP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.4279637Z"
"CUSA03509_00","CUSA03509","Grand Theft Auto: Vice City","UP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.4324168Z"
"CUSA03512_00","CUSA03512","Manhunt","UP","gdo",0,0,"BOOTABLE","2020-11-01T14:26:21.4375961Z"
"CUSA03513_00","CUSA03513","Max Payne","UP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.4418529Z"
"CUSA03515_00","CUSA03515","The Warriors","UP","gdo",0,0,"BOOTABLE","2020-11-01T14:26:21.4469625Z"
"CUSA03517_00","CUSA03517","Red Dead Revolver","UP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.4513248Z"
"CUSA03518_00","CUSA03518","Neon Chrome","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.456828Z"
"CUSA03519_00","CUSA03519","AmongtheSleep","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.4612605Z"
"CUSA03520_00","CUSA03520","RIVE","UP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.466637Z"
"CUSA03521_00","CUSA03521","Ether One","UP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.4707798Z"
"CUSA03522_00","CUSA03522","Call of Duty®: Modern Warfare® Remastered","UP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.4765788Z"
"CUSA03523_00","CUSA03523","Let's Sing 2016","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.4808906Z"
"CUSA03524_00","CUSA03524","AdamsVentureOrigins","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.4860764Z"
"CUSA03525_00","CUSA03525","GOD EATER RESURRECTION","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.4905226Z"
"CUSA03526_00","CUSA03526","Chivalry: Medieval Warfare","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.4957281Z"
"CUSA03528_00","CUSA03528","Deadpool","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5003491Z"
"CUSA03529_00","CUSA03529","Guitar Hero Live Kiosk Demo","EP","gd",0,0,"N/A","2020-11-01T14:26:21.5054726Z"
"CUSA03530_00","CUSA03530","Game of Thrones","UP","gd",0,0,"BOOTABLE","2020-11-01T14:26:21.5110381Z"
"CUSA03531_00","CUSA03531","N.E.R.O.:Nothing Ever Remains Obscure","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5158902Z"
"CUSA03532_00","CUSA03532","Full Mojo Rampage","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5211301Z"
"CUSA03534_00","CUSA03534","Orc Slayer","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5257127Z"
"CUSA03535_00","CUSA03535","ZOMBI","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5308658Z"
"CUSA03538_00","CUSA03538","1001 Spikes","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5354736Z"
"CUSA03540_00","CUSA03540","Dragon Quest XI","JP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.5412206Z"
"CUSA03541_00","CUSA03541","Grand Theft Auto: San Andreas","EP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.5456986Z"
"CUSA03542_00","CUSA03542","Red Dead Revolver","EP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.5513732Z"
"CUSA03545_00","CUSA03545","Manhunt","EP","gdo",0,0,"BOOTABLE","2020-11-01T14:26:21.555824Z"
"CUSA03546_00","CUSA03546","Grand Theft Auto: Vice City","EP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.5611461Z"
"CUSA03548_00","CUSA03548","The Warriors","EP","gdo",0,0,"BOOTABLE","2020-11-01T14:26:21.565562Z"
"CUSA03550_00","CUSA03550","Grand Theft Auto 3","EP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.5707568Z"
"CUSA03551_00","CUSA03551","Canis Canem Edit","EP","gdo",0,0,"COMPATIBLE","2020-11-01T14:26:21.5752327Z"
"CUSA03553_00","CUSA03553","School Girl Zombie Hunter","JP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.580309Z"
"CUSA03554_00","CUSA03554","Prison Architect: PlayStation®4 Edition","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5847646Z"
"CUSA03555_00","CUSA03555","しあわせ荘の管理人さん。","JP","gd",1,1,"BOOTABLE","2020-11-01T14:26:21.5899904Z"
"CUSA03557_00","CUSA03557","One Upon Light","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5944416Z"
"CUSA03558_00","CUSA03558","Zombie Vikings","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.5999095Z"
"CUSA03559_00","CUSA03559","Thumper","UP","gd",1,1,"COMPATIBLE","2020-11-01T14:26:21.604739Z"
"CUSA03560_00","CUSA03560","Thumper","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.6117499Z"
"CUSA03561_00","CUSA03561","Attractio - Kiosk Demo","UP","gd",0,0,"N/A","2020-11-01T14:26:21.616851Z"
"CUSA03562_00","CUSA03562","巨影都市","JP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.6221011Z"
"CUSA03563_00","CUSA03563","Bounce Rescue!","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:21.6276139Z"
"CUSA03564_00","CUSA03564","Dead Star Beta","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.6322273Z"
"CUSA03565_00","CUSA03565","Assassin’s Creed® Chronicles: Trilogy Pack","JP","gd",0,0,"BOOTABLE","2020-11-01T14:26:21.6374786Z"
"CUSA03567_00","CUSA03567","星海遊俠5 -誠實與背信-","HP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:21.6420291Z"
"CUSA03568_00","CUSA03568","DARK SOULS III NETWORK STRESS TEST VER.","HP","gd",0,0,"N/A","2020-11-01T14:26:21.6471501Z"
